condition,variant,digit,aggregation_unit,pair_count,unit_count,target_pcc_mean,target_pcc_sample_std,target_pcc_standard_error,target_pcc_ci95_low,target_pcc_ci95_high,full_canvas_pcc_mean,psnr_mean,ssim_mean
seed_disjoint_unseen,R0,9,diffuser,20180,20,0.7052901019,0.0179606723,0.0040161284,0.6974184902,0.7131617136,0.8849827107,15.3932733271,0.8790510795
seed_disjoint_unseen,B0,0,diffuser,19600,20,0.6333169699,0.0291969547,0.0065286375,0.6205208403,0.6461130995,0.7216258188,12.4980449059,0.2171431200
seed_disjoint_unseen,B0,1,diffuser,22700,20,0.6952114115,0.0330905086,0.0073992627,0.6807088567,0.7097139663,0.6494963932,12.4887051296,0.1604594267
seed_disjoint_unseen,B0,2,diffuser,20640,20,0.6677872984,0.0160055377,0.0035789470,0.6607725623,0.6748020346,0.7156253774,12.4943928041,0.1984724201
seed_disjoint_unseen,B0,3,diffuser,20200,20,0.6426629866,0.0138685949,0.0031011121,0.6365848069,0.6487411663,0.6917150190,12.4748884985,0.1963972594
seed_disjoint_unseen,B0,4,diffuser,19640,20,0.6141103994,0.0172527719,0.0038578371,0.6065490387,0.6216717601,0.6731309843,12.5031554772,0.1814499517
seed_disjoint_unseen,B0,5,diffuser,17840,20,0.6108564311,0.0187846062,0.0042003656,0.6026237145,0.6190891478,0.6768817026,12.4271422737,0.1900963070
seed_disjoint_unseen,B0,6,diffuser,19160,20,0.6607931815,0.0169046416,0.0037799928,0.6533843956,0.6682019673,0.7114498032,12.5298579901,0.1945260112
seed_disjoint_unseen,B0,7,diffuser,20560,20,0.6151630872,0.0191258698,0.0042766745,0.6067808052,0.6235453692,0.6721012591,12.3076370351,0.1779727072
seed_disjoint_unseen,B0,8,diffuser,19480,20,0.6159821143,0.0158562231,0.0035455593,0.6090328181,0.6229314105,0.6964713339,12.4327376122,0.1950821620
seed_disjoint_unseen,B0,9,diffuser,20180,20,0.6126342667,0.0170671806,0.0038163376,0.6051542450,0.6201142884,0.6777303102,12.4202754781,0.1856936004
seed_disjoint_unseen,R1,0,diffuser,19600,20,0.9144338386,0.0087008601,0.0019455715,0.9106205185,0.9182471586,0.9634803285,23.6044721935,0.8779779276
seed_disjoint_unseen,R1,1,diffuser,22700,20,0.9084303404,0.0106398191,0.0023791359,0.9037672341,0.9130934467,0.9476697052,25.0415621550,0.9027286762
seed_disjoint_unseen,R1,2,diffuser,20640,20,0.8956962909,0.0113133481,0.0025297415,0.8907379975,0.9006545843,0.9552854718,23.5105417167,0.8765285374
seed_disjoint_unseen,R1,3,diffuser,20200,20,0.8994517386,0.0123698893,0.0027659913,0.8940303956,0.9048730816,0.9554415844,23.7859209366,0.8792928907
seed_disjoint_unseen,R1,4,diffuser,19640,20,0.8774998106,0.0141861473,0.0031721190,0.8712824574,0.8837171638,0.9439298806,23.3222231778,0.8743203660
seed_disjoint_unseen,R1,5,diffuser,17840,20,0.8849268371,0.0110111778,0.0024621742,0.8801009757,0.8897526986,0.9490269481,23.5432772350,0.8787936128
seed_disjoint_unseen,R1,6,diffuser,19160,20,0.8783647255,0.0149875919,0.0033513274,0.8717961238,0.8849333273,0.9494757011,23.2469953326,0.8759409830
seed_disjoint_unseen,R1,7,diffuser,20560,20,0.8980169485,0.0127466314,0.0028502334,0.8924304910,0.9036034060,0.9527461685,24.1743725874,0.8879520087
seed_disjoint_unseen,R1,8,diffuser,19480,20,0.8676890768,0.0147075617,0.0032887108,0.8612432037,0.8741349499,0.9474900520,23.0072274902,0.8728337402
seed_disjoint_unseen,R1,9,diffuser,20180,20,0.8830452376,0.0145608945,0.0032559150,0.8766636442,0.8894268310,0.9503813179,23.7995351536,0.8837904247
seed_disjoint_unseen,R2,0,diffuser,19600,20,0.9033571059,0.0074417490,0.0016640257,0.9000956156,0.9066185962,0.9597099017,24.2382248169,0.9035668781
seed_disjoint_unseen,R2,1,diffuser,22700,20,0.9023635097,0.0132126264,0.0029544331,0.8965728209,0.9081541985,0.9517133889,26.8210740382,0.9320064341
seed_disjoint_unseen,R2,2,diffuser,20640,20,0.8748261269,0.0078107763,0.0017465427,0.8714029032,0.8782493506,0.9468591660,23.7336224877,0.9018461242
seed_disjoint_unseen,R2,3,diffuser,20200,20,0.8814531337,0.0091266094,0.0020407719,0.8774532208,0.8854530467,0.9467058791,23.9913518212,0.9047850194
seed_disjoint_unseen,R2,4,diffuser,19640,20,0.8554868658,0.0104471816,0.0023360608,0.8509081866,0.8600655450,0.9367956056,23.7699626892,0.9042071374
seed_disjoint_unseen,R2,5,diffuser,17840,20,0.8760838299,0.0079898904,0.0017865938,0.8725821061,0.8795855538,0.9428885892,24.1453206055,0.9072040889
seed_disjoint_unseen,R2,6,diffuser,19160,20,0.8626214763,0.0102090991,0.0022828240,0.8581471413,0.8670958112,0.9432143136,23.6937965564,0.9040732052
seed_disjoint_unseen,R2,7,diffuser,20560,20,0.8833159037,0.0115839149,0.0025902421,0.8782390292,0.8883927783,0.9476119169,24.8661452061,0.9152103557
seed_disjoint_unseen,R2,8,diffuser,19480,20,0.8353562444,0.0136062112,0.0030424413,0.8293930595,0.8413194294,0.9332924728,22.7984961086,0.8963410171
seed_disjoint_unseen,R2,9,diffuser,20180,20,0.8574837760,0.0146542581,0.0032767917,0.8510612642,0.8639062878,0.9397641148,23.9308195137,0.9083112623
no_diffuser,R0,0,object,980,980,0.8423538895,0.0546719440,0.0017464312,0.8389308844,0.8457768947,0.9385176148,14.2983900440,0.8592658147
no_diffuser,R0,1,object,1135,1135,0.8708688425,0.0471767767,0.0014003298,0.8681241961,0.8736134889,0.9466774656,17.7795788072,0.9289757861
no_diffuser,R0,2,object,1032,1032,0.7934047836,0.0706685375,0.0021998155,0.7890931452,0.7977164219,0.9175161324,14.8740740479,0.8684633151
no_diffuser,R0,3,object,1010,1010,0.8117493786,0.0565810799,0.0017803711,0.8082598512,0.8152389060,0.9233473743,15.1057097992,0.8722491042
no_diffuser,R0,4,object,982,982,0.7933267428,0.0637435027,0.0020341369,0.7893398345,0.7973136512,0.9164073904,15.7222413813,0.8852749010
no_diffuser,R0,5,object,892,892,0.7946563633,0.0713185015,0.0023879201,0.7899760400,0.7993366866,0.9155484682,15.4491907246,0.8750626899
no_diffuser,R0,6,object,958,958,0.7725717551,0.0831510597,0.0026864888,0.7673062371,0.7778372732,0.9128722632,15.0498234663,0.8750902822
no_diffuser,R0,7,object,1028,1028,0.8223343589,0.0598761476,0.0018674857,0.8186740868,0.8259946309,0.9280936774,16.0170306362,0.8938136238
no_diffuser,R0,8,object,974,974,0.7467202987,0.0831851002,0.0026654225,0.7414960705,0.7519445268,0.9048871114,14.7546835827,0.8670518374
no_diffuser,R0,9,object,1009,1009,0.7880693854,0.0668964245,0.0021059949,0.7839416353,0.7921971355,0.9190367434,15.6073946173,0.8858292449
no_diffuser,B0,0,object,980,980,0.6859178934,0.1269489908,0.0040552368,0.6779696293,0.6938661574,0.7430102050,12.6151252620,0.2240288593
no_diffuser,B0,1,object,1135,1135,0.7499677201,0.1226174117,0.0036396047,0.7428340950,0.7571013453,0.6611431554,12.5055853529,0.1626345258
no_diffuser,B0,2,object,1032,1032,0.7061271628,0.0923949227,0.0028761283,0.7004899513,0.7117643743,0.7313427141,12.5766240710,0.2034225589
no_diffuser,B0,3,object,1010,1010,0.6776487509,0.0853490494,0.0026855794,0.6723850152,0.6829124865,0.7085487258,12.5513902456,0.2008385603
no_diffuser,B0,4,object,982,982,0.6503232003,0.1095015400,0.0034943346,0.6434743045,0.6571720960,0.6887315774,12.5398315490,0.1852604285
no_diffuser,B0,5,object,892,892,0.6531955974,0.1000835523,0.0033510452,0.6466275488,0.6597636459,0.6958043649,12.4804707439,0.1941515844
no_diffuser,B0,6,object,958,958,0.6924440026,0.1082198300,0.0034964240,0.6855910115,0.6992969936,0.7250719648,12.5760372795,0.1991021760
no_diffuser,B0,7,object,1028,1028,0.6480954528,0.1188995855,0.0037083762,0.6408270354,0.6553638701,0.6858004264,12.3510583495,0.1804499453
no_diffuser,B0,8,object,974,974,0.6578879364,0.0918135647,0.0029418964,0.6521218195,0.6636540533,0.7148098557,12.5087682344,0.2018117239
no_diffuser,B0,9,object,1009,1009,0.6510623667,0.0907046382,0.0028555115,0.6454655642,0.6566591693,0.6935249310,12.4854148320,0.1907837755
no_diffuser,R1,0,object,980,980,0.9441881101,0.0245237711,0.0007833831,0.9426526792,0.9457235411,0.9758984302,25.3544401519,0.8988847772
no_diffuser,R1,1,object,1135,1135,0.9382602047,0.0242567731,0.0007200043,0.9368489962,0.9396714131,0.9625101607,26.3824163008,0.9138134685
no_diffuser,R1,2,object,1032,1032,0.9304002573,0.0329802565,0.0010266305,0.9283880614,0.9324124532,0.9698053164,25.0846081760,0.8964954869
no_diffuser,R1,3,object,1010,1010,0.9316943375,0.0257060003,0.0008088609,0.9301089702,0.9332797048,0.9693062624,25.2405495464,0.8977175762
no_diffuser,R1,4,object,982,982,0.9164496350,0.0339493246,0.0010833665,0.9143262367,0.9185730333,0.9612251887,24.8027180013,0.8936384967
no_diffuser,R1,5,object,892,892,0.9189102481,0.0327368094,0.0010961095,0.9167618735,0.9210586226,0.9637853976,24.8984617396,0.8958009582
no_diffuser,R1,6,object,958,958,0.9212485627,0.0411150607,0.0013283673,0.9186449628,0.9238521626,0.9666876836,24.9998707244,0.8967950793
no_diffuser,R1,7,object,1028,1028,0.9307267258,0.0314594972,0.0009811948,0.9288035841,0.9326498676,0.9672767971,25.6547354594,0.9047408175
no_diffuser,R1,8,object,974,974,0.9124966168,0.0369933882,0.0011853446,0.9101733413,0.9148198922,0.9648614853,24.6993145463,0.8945370359
no_diffuser,R1,9,object,1009,1009,0.9231083231,0.0312867208,0.0009849506,0.9211778199,0.9250388264,0.9668825372,25.4366259504,0.9030830165
no_diffuser,R2,0,object,980,980,0.9233867082,0.0313171717,0.0010003904,0.9214259431,0.9253474733,0.9674522208,25.0998990351,0.9118766246
no_diffuser,R2,1,object,1135,1135,0.9305739778,0.0337109597,0.0010006292,0.9286127445,0.9325352111,0.9636567320,27.9877104116,0.9371971710
no_diffuser,R2,2,object,1032,1032,0.8962653307,0.0471145463,0.0014666118,0.8933907716,0.8991398898,0.9558152141,24.4234191891,0.9087178177
no_diffuser,R2,3,object,1010,1010,0.9050415640,0.0393532417,0.0012382828,0.9026145298,0.9074685982,0.9570150746,24.8345030851,0.9118364249
no_diffuser,R2,4,object,982,982,0.8846591230,0.0428216689,0.0013664944,0.8819807940,0.8873374519,0.9492532152,24.5755621722,0.9109248813
no_diffuser,R2,5,object,892,892,0.9009996629,0.0457897904,0.0015331556,0.8979946780,0.9040046479,0.9539822393,24.9936698798,0.9139543154
no_diffuser,R2,6,object,958,958,0.8881400687,0.0532254368,0.0017196358,0.8847695825,0.8915105549,0.9533530643,24.4376348026,0.9114908811
no_diffuser,R2,7,object,1028,1028,0.9104413882,0.0395149124,0.0012324363,0.9080258131,0.9128569632,0.9588997897,25.8323188125,0.9217676263
no_diffuser,R2,8,object,974,974,0.8644346725,0.0554446627,0.0017765616,0.8609526117,0.8679167332,0.9451177753,23.5114918734,0.9036344888
no_diffuser,R2,9,object,1009,1009,0.8882483004,0.0437493926,0.0013772933,0.8855488054,0.8909477953,0.9522516104,24.8147878562,0.9152421625
